iter	Passed	Remaining
0	117	117293
1	118	59327
2	120	39997
3	121	30311
4	122	24469
5	124	20558
6	125	17823
7	126	15732
8	128	14109
9	129	12775
10	129	11687
11	131	10790
12	132	10043
13	133	9376
14	134	8805
15	135	8307
16	136	7875
17	137	7482
18	138	7153
19	139	6851
20	141	6574
21	142	6315
22	143	6080
23	144	5857
24	145	5659
25	145	5467
26	146	5296
27	147	5136
28	148	4988
29	149	4849
30	150	4715
31	151	4593
32	152	4482
33	154	4379
34	155	4282
35	156	4195
36	157	4108
37	158	4022
38	160	3944
39	161	3865
40	162	3791
41	163	3722
42	164	3655
43	165	3589
44	166	3526
45	167	3470
46	168	3421
47	169	3367
48	170	3314
49	171	3262
50	172	3212
51	173	3165
52	174	3122
53	176	3083
54	177	3046
55	178	3005
56	179	2966
57	180	2928
58	181	2895
59	182	2859
60	183	2830
61	185	2800
62	186	2772
63	187	2741
64	188	2712
65	189	2682
66	190	2652
67	191	2622
68	192	2595
69	193	2567
70	194	2540
71	195	2516
72	196	2496
73	197	2473
74	198	2453
75	200	2433
76	201	2411
77	202	2392
78	203	2373
79	204	2351
80	205	2330
81	206	2310
82	206	2285
83	207	2265
84	208	2246
85	209	2230
86	210	2212
87	212	2197
88	213	2182
89	214	2167
90	215	2154
91	217	2142
92	218	2127
93	219	2111
94	220	2096
95	220	2080
96	221	2065
97	222	2049
98	223	2034
99	224	2021
100	225	2008
101	226	1996
102	227	1983
103	228	1971
104	230	1961
105	231	1950
106	232	1940
107	233	1928
108	234	1915
109	235	1903
110	236	1891
111	236	1878
112	237	1866
113	238	1856
114	239	1846
115	240	1835
116	241	1825
117	243	1816
118	244	1807
119	245	1799
120	246	1792
121	247	1781
122	248	1771
123	249	1761
124	250	1751
125	251	1741
126	251	1730
127	252	1721
128	253	1712
129	254	1703
130	255	1694
131	256	1688
132	257	1681
133	259	1674
134	260	1668
135	261	1660
136	262	1652
137	263	1644
138	264	1635
139	264	1627
140	265	1619
141	266	1609
142	267	1601
143	268	1593
144	268	1585
145	269	1577
146	270	1570
147	271	1564
148	272	1558
149	274	1553
150	275	1547
151	276	1541
152	277	1534
153	278	1527
154	278	1520
155	279	1513
156	280	1506
157	281	1499
158	282	1492
159	283	1486
160	283	1477
161	284	1472
162	285	1465
163	286	1460
164	287	1456
165	289	1452
166	290	1447
167	291	1442
168	292	1436
169	293	1431
170	294	1425
171	294	1420
172	295	1414
173	296	1408
174	297	1402
175	298	1397
176	299	1391
177	300	1385
178	300	1379
179	301	1375
180	303	1372
181	304	1368
182	305	1365
183	306	1359
184	307	1354
185	308	1349
186	309	1344
187	310	1339
188	310	1334
189	311	1329
190	312	1324
191	313	1320
192	314	1315
193	315	1310
194	316	1305
195	317	1301
196	318	1298
197	319	1293
198	320	1289
199	321	1285
200	322	1281
201	323	1277
202	324	1273
203	325	1269
204	326	1265
205	327	1262
206	328	1259
207	329	1256
208	330	1252
209	331	1248
210	333	1246
211	334	1244
212	336	1241
213	337	1238
214	338	1235
215	339	1231
216	340	1228
217	341	1224
218	342	1221
219	343	1217
220	344	1214
221	345	1211
222	346	1208
223	348	1206
224	349	1204
225	351	1203
226	352	1200
227	353	1197
228	354	1194
229	355	1191
230	356	1188
231	357	1184
232	358	1181
233	359	1178
234	361	1175
235	362	1173
236	363	1171
237	365	1171
238	367	1169
239	368	1166
240	369	1164
241	370	1161
242	371	1158
243	372	1155
244	373	1151
245	374	1148
246	375	1144
247	376	1142
248	377	1139
249	379	1138
250	381	1137
251	382	1134
252	383	1132
253	384	1130
254	386	1128
255	387	1126
256	388	1123
257	389	1120
258	390	1117
259	391	1115
260	392	1112
261	394	1110
262	395	1108
263	396	1105
264	397	1103
265	398	1100
266	399	1097
267	400	1094
268	401	1091
269	403	1090
270	404	1087
271	405	1085
272	406	1082
